,Unnamed: 0,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Player-additional
2,2,3,"Adebayo, Bam",C,24,MIA,56,1825,21.8,0.608,0.008,0.466,8.7,26.1,17.5,17.5,2.2,2.6,14.4,25.0,,3.6,3.5,7.2,0.188,,1.7,2.1,3.8,2.7,adebaba01
15,15,12,"Antetokounmpo, Giannis",PF,27,MIL,67,2204,32.1,0.633,0.194,0.615,6.6,30.4,18.7,31.7,1.6,4.0,12.2,34.9,,9.2,3.7,12.9,0.281,,7.6,3.5,11.2,7.4,antetgi01
49,49,42,"Beasley, Malik",SG,25,MIN,79,1976,11.9,0.544,0.749,0.071,1.4,11.2,6.2,8.5,1.0,0.6,4.7,19.4,,1.7,1.2,2.9,0.069,,0.7,-1.5,-0.7,0.7,beaslma01
99,99,80,"Brunson, Jalen",SG,25,DAL,79,2524,17.1,0.583,0.25,0.211,1.9,11.7,6.8,24.3,1.3,0.1,10.1,21.9,,4.9,2.7,7.5,0.143,,0.9,0.0,0.9,1.9,brunsja01
109,109,90,"Campazzo, Facundo",PG,30,DEN,65,1184,11.1,0.503,0.652,0.264,2.2,8.6,5.5,24.1,2.6,1.8,16.9,14.7,,0.6,1.3,2.0,0.081,,-2.1,1.3,-0.8,0.4,campafa01
138,138,113,"Conley, Mike",PG,34,UTA,72,2058,17.2,0.572,0.523,0.205,2.6,8.8,5.8,27.7,2.3,0.9,12.5,20.9,,4.4,2.3,6.7,0.157,,2.4,0.7,3.1,2.7,conlemi01
153,153,122,"Culver, Jarrett",SG,22,MEM,37,338,8.7,0.433,0.348,0.252,3.9,11.1,7.4,13.0,2.8,1.3,11.8,20.6,,-0.4,0.5,0.1,0.012,,-5.7,0.3,-5.4,-0.3,culveja01
159,159,126,"Curry, Stephen",PG,33,GSW,64,2211,21.4,0.601,0.613,0.243,1.7,14.4,8.3,30.4,1.9,1.0,13.2,30.8,,4.6,3.4,8.0,0.173,,5.4,0.4,5.8,4.4,curryst01
167,167,134,"DeRozan, DeMar",PF,32,CHI,76,2743,23.1,0.59,0.093,0.386,2.3,13.7,8.0,23.3,1.2,0.8,9.2,31.8,,7.0,1.8,8.8,0.154,,3.4,-0.9,2.5,3.1,derozde01
182,182,145,"Dotson, Devon",PG,22,CHI,11,85,9.8,0.538,0.391,0.391,1.3,10.5,6.0,23.9,0.6,0.0,15.6,16.6,,0.1,0.0,0.1,0.048,,-3.4,-1.5,-4.9,-0.1,dotsode01
223,223,170,"Flynn, Malachi",PG,23,TOR,44,537,11.7,0.488,0.492,0.131,1.9,11.3,6.4,18.5,1.9,0.7,6.3,16.5,,0.5,0.5,1.0,0.092,,-1.8,0.4,-1.5,0.1,flynnma01
266,266,204,"Green, Draymond",PF,31,GSW,46,1329,14.3,0.582,0.21,0.354,3.8,23.2,13.8,32.5,2.2,3.6,31.9,14.3,,0.8,2.8,3.6,0.131,,-1.4,4.6,3.2,1.8,greendr01
282,282,218,"Harden, James",PG,32,TOT,65,2420,20.9,0.583,0.452,0.54,2.6,19.7,11.3,40.3,1.7,1.3,18.8,27.2,,4.9,2.7,7.6,0.152,,3.7,0.3,4.0,3.7,hardeja01
283,283,218,"Harden, James",PG,32,BRK,44,1627,20.4,0.576,0.435,0.496,2.9,20.2,11.7,39.7,1.7,1.7,19.8,28.3,,2.6,1.8,4.4,0.13,,3.7,0.4,4.1,2.5,hardeja01
284,284,218,"Harden, James",PG,32,PHI,21,792,21.8,0.601,0.493,0.65,1.9,18.9,10.5,41.4,1.6,0.6,16.4,24.9,,2.3,0.9,3.3,0.197,,3.8,0.1,3.8,1.2,hardeja01
286,286,220,"Harper, Jared",PG,24,NOP,5,43,36.9,0.666,0.462,0.154,5.0,0.0,2.6,64.1,4.6,2.2,6.7,29.7,,0.3,0.1,0.4,0.422,,14.2,3.1,17.3,0.2,harpeja01
349,349,261,"Hyland, Bones",SG,21,DEN,69,1310,14.4,0.558,0.627,0.219,1.2,14.4,8.0,21.2,1.5,1.4,12.1,23.8,,1.1,1.3,2.4,0.088,,0.3,-0.7,-0.4,0.5,hylanbo01
372,372,278,"Joe, Isaiah",SG,22,PHI,55,609,7.7,0.519,0.763,0.175,1.1,9.0,5.1,8.1,1.1,0.4,9.1,15.5,,0.0,0.4,0.4,0.035,,-3.1,-1.5,-4.6,-0.4,joeis01
402,402,299,"Jones, Tyus",PG,25,MEM,73,1549,16.5,0.544,0.371,0.12,1.1,11.0,5.9,28.2,2.0,0.1,7.3,16.6,,3.4,1.6,5.1,0.158,,1.2,0.5,1.7,1.4,jonesty01
462,462,340,"Lowry, Kyle",PG,35,MIA,63,2133,15.0,0.6,0.609,0.278,1.8,13.0,7.5,32.3,1.6,0.8,19.3,18.2,,3.7,2.7,6.4,0.143,,1.1,0.8,2.0,2.1,lowryky01
515,515,383,"Mitchell, Donovan",SG,25,UTA,67,2266,21.6,0.572,0.475,0.227,2.7,10.6,6.8,27.7,2.2,0.5,11.7,32.9,,4.7,2.5,7.2,0.152,,4.6,-0.3,4.3,3.6,mitchdo01
548,548,406,"Nesmith, Aaron",SF,22,BOS,52,574,7.3,0.507,0.632,0.143,2.9,13.6,8.4,5.4,1.7,0.8,13.8,17.2,,-0.4,0.9,0.4,0.038,,-4.9,0.7,-4.3,-0.3,nesmiaa01
555,555,413,"Nowell, Jaylen",SG,22,MIN,62,975,16.8,0.581,0.387,0.223,2.4,11.4,6.8,20.2,1.3,1.0,7.4,21.0,,2.1,0.7,2.8,0.138,,1.5,-0.7,0.8,0.7,nowelja01
556,556,414,"Ntilikina, Frank",SG,23,DAL,58,685,10.4,0.513,0.498,0.112,1.9,10.9,6.4,14.7,2.0,0.9,11.7,17.4,,0.1,0.9,0.9,0.065,,-2.8,0.9,-1.9,0.0,ntilila01
612,612,462,"Pritchard, Payton",PG,24,BOS,71,1001,15.0,0.578,0.657,0.056,3.5,10.8,7.2,20.4,1.2,0.5,9.7,18.6,,1.8,1.2,3.1,0.148,,1.7,0.1,1.8,1.0,pritcpa01
667,667,501,"Siakam, Pascal",PF,27,TOR,68,2578,20.3,0.565,0.181,0.314,5.1,20.1,12.2,23.0,1.6,1.6,11.6,25.8,,4.9,3.2,8.1,0.151,,2.7,0.8,3.5,3.6,siakapa01
676,676,508,"Smart, Javonte",PG,22,TOT,17,200,5.1,0.407,0.45,0.1,2.7,10.0,6.5,10.4,1.5,1.5,14.9,15.9,,-0.3,0.2,-0.2,-0.038,,-5.9,-0.8,-6.6,-0.2,smartja01
677,677,508,"Smart, Javonte",PG,22,MIL,13,160,2.5,0.34,0.419,0.14,2.7,9.7,6.3,10.9,1.2,1.2,16.5,14.6,,-0.4,0.1,-0.2,-0.071,,-7.3,-0.8,-8.1,-0.2,smartja01
678,678,508,"Smart, Javonte",PG,22,MIA,4,40,15.6,0.588,0.529,0.0,2.9,11.2,7.1,8.1,2.5,2.6,10.5,21.1,,0.0,0.1,0.1,0.094,,-0.2,-0.7,-0.9,0.0,smartja01
698,698,518,"Stephenson, Lance",PG-SG,31,TOT,46,814,13.6,0.536,0.279,0.248,1.6,16.0,8.7,30.2,1.4,0.4,16.7,22.6,,0.4,0.4,0.8,0.048,,-1.6,-1.6,-3.2,-0.2,stephla01
699,699,518,"Stephenson, Lance",SG,31,ATL,6,70,4.5,0.396,0.231,0.154,1.6,21.8,11.7,19.9,0.0,0.0,22.4,11.2,,-0.1,0.0,0.0,-0.023,,-6.8,-0.8,-7.7,-0.1,stephla01
700,700,518,"Stephenson, Lance",PG,31,IND,40,744,14.5,0.542,0.281,0.252,1.6,15.4,8.4,31.2,1.6,0.5,16.5,23.7,,0.5,0.3,0.8,0.055,,-1.1,-1.7,-2.8,-0.1,stephla01
710,710,528,"Temple, Garrett",SG,35,NOP,59,1098,8.6,0.494,0.627,0.139,2.9,11.8,7.2,9.2,1.9,2.0,11.8,13.9,,-0.1,1.0,0.8,0.037,,-2.8,0.3,-2.5,-0.1,templga01
808,808,602,"Young, Trae",PG,23,ATL,76,2652,25.4,0.603,0.395,0.358,2.1,9.6,5.9,46.7,1.3,0.2,14.5,34.4,,9.0,1.0,10.0,0.181,,7.1,-2.0,5.2,4.8,youngtr01
